iso,country,year,mmr
AFG,Afghanistan,2000,1900
DZA,Algeria,1999,117.41
BGD,Bangladesh,2009,194
BGD,Bangladesh,2000,322.156
BWA,Botswana,2006,139.79
BWA,Botswana,2012,147.9
BWA,Botswana,2005,157.7
BWA,Botswana,2010,163
BWA,Botswana,2013,182.6
BWA,Botswana,2007,183.47
BWA,Botswana,2011,188.86
BWA,Botswana,2009,189.57
BWA,Botswana,2008,195.73
CMR,Cameroon,2010,652
CHN,China,2012,24.5
CHN,China,2011,26.1
CHN,China,2010,30
CHN,China,2009,31.9
CHN,China,2008,34.2
CHN,China,2007,36.6
CHN,China,2006,41.1
CHN,China,2002,43.2
CHN,China,2005,47.7
CHN,China,2004,48.3
CHN,China,2001,50.2
CHN,China,2003,51.3
CHN,China,2000,53
CHN,China,1999,58.7
CHN,China,1995,61.9
CHN,China,1997,63.6
CHN,China,1990,88.9
EGY,Egypt,2006,59
EGY,Egypt,2004,68
EGY,Egypt,2000,84
EGY,Egypt,1992,174
SLV,El Salvador,2008,51.09
SLV,El Salvador,2007,56.93
HND,Honduras,2012,74.1
HND,Honduras,2013,86
IND,India,2012,167
IND,India,2011,178
IND,India,2008,212
IND,India,2005,254
IND,India,2002,301
IND,India,2000,327
IND,India,1998,398
IND,India,1992,437
IND,India,1999,540
IRN,Iran (Islamic Republic of),2013,19.7
IRN,Iran (Islamic Republic of),2012,19.9
IRN,Iran (Islamic Republic of),2008,20.9
IRN,Iran (Islamic Republic of),2011,21.5
IRN,Iran (Islamic Republic of),2006,21.7
IRN,Iran (Islamic Republic of),2010,22.1
IRN,Iran (Islamic Republic of),2005,23.8
IRN,Iran (Islamic Republic of),2004,24.1
IRN,Iran (Islamic Republic of),2007,24.7
IRN,Iran (Islamic Republic of),2009,25.4
IRN,Iran (Islamic Republic of),2002,27.4
IRN,Iran (Islamic Republic of),2003,28.3
IRQ,Iraq,2012,35
JAM,Jamaica,2009,73.2
JAM,Jamaica,1999,73.5
JAM,Jamaica,1995,81.3
JAM,Jamaica,2012,81.3
JAM,Jamaica,2004,82.5
JAM,Jamaica,2003,89.8
JAM,Jamaica,1998,90.1
JAM,Jamaica,2000,90.3
JAM,Jamaica,2001,91.5
JAM,Jamaica,2007,92.9
JAM,Jamaica,2011,95.7
JAM,Jamaica,2006,96.7
JAM,Jamaica,2008,102
JAM,Jamaica,2005,109.2
JAM,Jamaica,2002,110.5
JAM,Jamaica,2010,113.3
MNG,Mongolia,2014,30.2
MNG,Mongolia,2013,42.6
MNG,Mongolia,2010,47.4
MNG,Mongolia,2008,48.6
MNG,Mongolia,2011,48.7
MNG,Mongolia,2012,51.5
MNG,Mongolia,2006,67.2
MNG,Mongolia,2009,81
MNG,Mongolia,2007,88.3
MNG,Mongolia,2005,92.7
MNG,Mongolia,2004,96.7
MNG,Mongolia,2003,107.2
MNG,Mongolia,2002,121.5
MNG,Mongolia,1997,143.5
MNG,Mongolia,1998,162.4
MNG,Mongolia,2001,165
MNG,Mongolia,2000,166.2
MNG,Mongolia,1996,173.7
MNG,Mongolia,1999,182
MNG,Mongolia,1995,186
MNG,Mongolia,1992,203.9
MNG,Mongolia,1994,219
MNG,Mongolia,1993,259
MMR,Myanmar,2004,315.86
NPL,Nepal,2008,229
OMN,Oman,1993,6
OMN,Oman,1997,13.3
OMN,Oman,1999,13.7
OMN,Oman,2005,15.4
OMN,Oman,1992,15.9
OMN,Oman,2000,16.1
OMN,Oman,1998,18.5
OMN,Oman,2004,18.5
OMN,Oman,1996,21
OMN,Oman,1995,22
OMN,Oman,2001,23.1
OMN,Oman,2003,23.2
OMN,Oman,1994,24.4
OMN,Oman,1991,27.4
OMN,Oman,2002,37.5
PRY,Paraguay,2001,178
PER,Peru,2011,92.7
PER,Peru,2010,95.9
PER,Peru,2009,96.1
PER,Peru,2008,107.9
PER,Peru,2007,110.5
PER,Peru,2005,114.1
PER,Peru,2006,114.9
PER,Peru,2002,118.3
PER,Peru,2004,120.8
PER,Peru,2003,123.8
SAU,Saudi Arabia,1997,23
SSD,South Sudan,2005,2037
LKA,Sri Lanka,2010,31.1
LKA,Sri Lanka,2011,32.5
LKA,Sri Lanka,2008,33.4
LKA,Sri Lanka,2012,37.7
LKA,Sri Lanka,2004,38
LKA,Sri Lanka,2007,38.4
LKA,Sri Lanka,2006,39.3
LKA,Sri Lanka,2009,40.2
LKA,Sri Lanka,2003,42.4
LKA,Sri Lanka,2005,44
LKA,Sri Lanka,2001,46.6
LKA,Sri Lanka,1998,53
LKA,Sri Lanka,2002,53.4
LKA,Sri Lanka,2000,55.6
LKA,Sri Lanka,1999,55.8
LKA,Sri Lanka,1995,61
LKA,Sri Lanka,1996,62
LKA,Sri Lanka,1997,63
SDN,Sudan,2009,215.6
SDN,Sudan,2005,638
SYR,Syrian Arab Republic,2008,56
THA,Thailand,1998,36.4
THA,Thailand,1997,36.5
THA,Thailand,2005,37.4
THA,Thailand,2006,41.6
THA,Thailand,1996,44.1
THA,Thailand,2004,44.5
TUN,Tunisia,2008,44.8
TUN,Tunisia,1993,68.9
TUR,Turkey,2014,15.2
TUR,Turkey,2012,15.4
TUR,Turkey,2011,15.5
TUR,Turkey,2013,15.9
TUR,Turkey,2010,16.4
TUR,Turkey,2009,18.4
TUR,Turkey,2008,19.4
TUR,Turkey,2007,21.2
ARE,United Arab Emirates,2005,0
ARE,United Arab Emirates,2000,0
ARE,United Arab Emirates,2008,1.4
ARE,United Arab Emirates,1995,22.4
ARE,United Arab Emirates,1990,32.6
VNM,Viet Nam,2009,69
VNM,Viet Nam,2001,130
YEM,Yemen,2012,148.16
